-20.442,2.1516,1.4108
-20.382,1.5129,-0.039815
-20.365,3.633,2.2485
-20.361,0.41597,-1.0049
-20.348,1.9421,-1.4649
-20.308,0.80495,-2.9388
-20.306,2.3819,3.2822
-20.289,2.7936,-0.14591
-20.287,3.5006,0.91646
-20.255,3.9316,3.8822
-20.094,-0.79432,-2.1489
-20.078,0.27776,0.96676
-20.075,-0.75312,-3.7679
-20.027,2.681,5.0569
-20.022,1.074,2.5858
-19.919,4.6592,1.255
-19.914,4.2974,5.5122
-19.85,4.9759,2.729
-19.764,3.1522,6.639
-19.764,4.1167,-0.11616
-19.742,3.3743,-1.5061
-19.678,2.4961,-2.9906
-19.621,0.45723,-4.5349
-19.613,5.3819,4.2758
-19.6,-1.6761,-3.0179
-19.568,1.6634,-4.1391
-19.544,-0.94548,-0.5111
-19.457,4.6388,7.1022
-19.446,-2.0192,-4.2813
-19.377,3.3863,8.0679
-19.289,2.4935,7.3567
-19.275,-0.82914,-5.1381
-19.252,1.1694,4.2105
-19.165,5.618,1.7346
-19.127,5.7015,5.8615
-19.063,-1.8352,-1.8428
-19.001,1.3986,-5.0913
-18.895,0.056803,2.6205
-18.886,6.1223,3.0059
-18.885,4.6123,-1.2762
-18.812,5.4001,0.24781
-18.785,3.9083,-2.8339
-18.783,1.7774,6.2863
-18.778,-2.5832,-3.1309
-18.756,4.8199,8.7179
-18.703,0.34046,-5.6264
-18.655,6.1001,7.4875
-18.646,-2.1062,-5.6328
-18.567,2.9222,-4.7901
-18.528,3.2914,9.5013
-18.503,6.5591,4.5715
-18.497,-0.8864,1.0246
-18.455,-3.0695,-4.54
-18.438,2.1687,8.1277
-18.19,-0.82995,-6.2544
-18.189,1.5078,-6.0844
-18.097,-1.7999,-0.52175
-18.048,0.89757,5.1484
-17.987,5.4536,-0.99638
-17.957,6.7689,6.1149
-17.923,-3.4031,-5.9935
-17.913,6.486,1.5364
-17.898,0.33449,-6.6159
-17.849,0.19256,3.9885
-17.83,-2.7041,-1.9455
-17.755,4.9926,-2.2447
-17.648,4.7964,10.461
-17.629,6.1829,9.0022
-17.613,-3.4206,-3.3777
-17.592,-2.1582,-6.923
-17.589,2.9096,10.978
-17.572,1.4986,7.285
-17.565,6.9427,3.2732
-17.489,2.0488,9.5237
-17.472,-4.0966,-4.771
-17.413,6.1519,-0.12339
-17.386,4.3894,-3.8149
-17.263,0.93714,6.1733
-17.223,6.9379,7.5232
-17.192,-0.80343,2.5668
-17.185,1.5936,8.3298
-17.17,-4.4863,-6.0499
-17.15,2.6132,-6.4332
-17.13,1.2003,-7.3238
-17.107,0.36556,5.0631
-17.076,-0.5631,-7.612
-16.929,-1.6994,0.81019
-16.908,7.1852,4.8517
